text,freq,occurrences
s ser mãe mas nunca foi um assunto que chamasse a atenção assim pra noite eu li um livro que é aquele crianças francesas não fazem manhã simplesmente porque o título me chamou a atenção do sabe o que é o fazer manhã então sei lá só por isso que eu li esse livro mas não porque eu tinha medo do meu filho fazer manha ou qualquer outra coisa é eu acho que a maternidade ela acontece de forma diferente né pra cada mulher mas comigo eu deixei a coisa acontecer assim não fiquei tentando prevê é não ficar planejando do meu parto que rolou o ano que idealizando nada talvez seja o meu jeito de levar as coisas assim mas como a gente está falando de instinto materno é muito engraçado porque eu acho que na verdade o que eu senti desse instinto materno é um sinta de de sobrevivência também é uma consciência da sua importância no mundo assim parece que agora nada pode,3,"[{ep: 1, idx: 11}, {ep: 19, idx: 11}, {ep: 199, idx: 11}]"
esses comportamentos variam muito conforme a cultura a proporção deles por exemplo as mães do quênia elas não pegam assim pega um pouquinho da proporcionalmente às outras elas pegam muito menos elas tentam mostrar afeto que essa vozinha ou canta canta musiquinhas neto e tentam distrair elas evitam o contato físico por exemplo é no brasil têm uma prevalência uma incidência maior de fala né fala com a criança do que todos os outros grupos né a toda sociedade e dais todas outros países na frança as mães de lá falam mais tem mais afeto só que elas evitam alimentar a criança quando a criança chora não elas fazem só depois do show determinados ou seja mostra uma o cuidado maternal tem um grande efeito cultural na expressão né e aí eles pegaram as mães chinesas e italianas e americanas que têm comportamento bem diferente do cuidado e trouxeram para a ressonância magnética para ver o cérebro,3,"[{ep: 1, idx: 18}, {ep: 19, idx: 18}, {ep: 199, idx: 18}]"
do ambiente ele ocorrem em todos os membros da espécie universal no estresse ele modulável mas não modificável e não necessita aprendizagem anterior certo né e vemos que o instinto materno pelo menos da maneira como as pessoas entendem de forma geral não atende a quase nenhum desses quesitos certo tá ele é muito modificável ele não é tão automático ele acontece num ponto fixo do desenvolvimento mas não tão fixo tem gente que têm filhos com 18 tem gente sem filhos com 40 não dá para dizer que o universal é universal depende de aprendizagem depende de aprendizagem depende de histórico depende de questão social de uma série de aspectos está longe de ser resistível exato e então já mostramos que o instinto materno não é um instinto mas é um comportamento complexo e muito prevalente importante para a sobrevivência tá mas será que ele matando aí que vem o ponto nem daqui não exclusivamente das mães alta então nã,3,"[{ep: 1, idx: 6}, {ep: 19, idx: 6}, {ep: 199, idx: 6}]"
processo de maternidade dela a camila tem um podcast que é o minha que eu participei também e gentilmente ofereceu um áudio com um sua opinião sobre o tema vamos ouvir a caminho então oi gente tudo boa só tamil aprender sou escritor e roteirista e mãe e rave comentar com vocês um pouco como foi a minha experiência do primeiro filho enfim é o quis ficar grávida mas eu diferente de muita gente muitas amigas eu não foi o tipo de pessoa que ficou se preparando para o parto para a criação do filho eu não li nenhum tipo de material sobre maternidade olha que engraçado eu sempre quis ser mãe mas nunca foi um assunto que chamasse a atenção assim pra noite eu li um livro que é aquele crianças francesas não fazem manhã simplesmente porque o título me chamou a atenção do sabe o que é o fazer manhã então sei lá só por isso que eu li esse livro mas não porque eu tinha,3,"[{ep: 1, idx: 10}, {ep: 19, idx: 10}, {ep: 199, idx: 10}]"
senha não saberia dizer eu acho que é um instinto de sobrevivência mesmo saber de uma devoção é sempre que você abrir mão de muita coisa né pra que eu dar certo é uma coisa bem forte assim estou ansiosa pra ouvir aí o que vocês vão falar sobre isso o autor não dá para dizer que o que a camilla disso aqui não aconteça claro que não é esse a violência então ela estava escrevendo muito bem o comportamento dela né só que ela descreve utilizando descrições que a gente viu no episódio anterior que são as descrições de senso comum tinha então por exemplo a eu sinto mais ou menos como falou né eu sinto como se fosse um instinto de sobrevivência eu tenho que continuar viva para cuidar da criança e ordenado de um ser que defende totalmente dela isso tem sido dance pra isso por exemplo tem um artigo muito legal da pns tem um baita trabalho mas o artigo sensacional em,3,"[{ep: 1, idx: 14}, {ep: 19, idx: 14}, {ep: 199, idx: 14}]"
a distrair ela ou fazer uma exposição de afeto que seria fazer uma voz fininha que na linguagem e teórica chamada de mãe eis não desenvolver tanto é que quando você é visto na rua se eu estou com uma criança pequena eu faço do uso ninguém acha engraçado todo mundo acha adaptativo mas chegará o que fugiu ao abuso não deixa esquisita run to e voltado para aquele alvo é algo importante todas as mães fazem alguns desses comportamentos assim só porque tem aquela coisa é que quem ama a mãe diz que quando o bebê chora ou fome ou é sono e dor exato só que a questão é que esses comportamentos variam muito conforme a cultura a proporção deles por exemplo as mães do quênia elas não pegam assim pega um pouquinho da proporcionalmente às outras elas pegam muito menos elas tentam mostrar afeto que essa vozinha ou canta canta musiquinhas neto e tentam distrair elas evita,3,"[{ep: 1, idx: 17}, {ep: 19, idx: 17}, {ep: 199, idx: 17}]"
do pp tá então quem quiser migrar quem quiser ter acesso a esse conteúdo exclusivo vai precisar migrar a sua assinatura para o pp temos desde já e participem por favor é isso aí a gente tem um recado especial da família de nove de podcast ver escutar o ponto de virada o nosso irmão mais novo curtinho 30 minutos para caber na sua rotina a bia fioroto produtora mais querida do brasil a quem conduza conversas sobre carreira misturando o olhar de especialistas com as histórias de pessoas como você com suas dúvidas medos e desafios e o ponto de virada já teve histórias também de outras personalidades na ponta as feras acres barthes contou como foi mudar de carreira e ter a coragem de começar de novo ea juliana valor relatou como foi empreender sem grana abrindo o coração e os bastidores da nova jornada dela no bbb 9 os aprendizados os erros os medos então é isso puxa o banquinho e vai participar da,3,"[{ep: 1, idx: 2}, {ep: 19, idx: 2}, {ep: 199, idx: 2}]"
episódio sobre o instinto materno a primeira parte foi meteórica assim mais intensa agora temos uma parte mexemos todas as definições históricas de estilo né também trabalho né é uma parte porque mais bacana né agora a primeira parte foi bem teórico quantitativa para uma parte mais qualitativa vamos retomar só aqueles sete pontos que definem o que ajudam a caracterizar o que isso é um distinto é então vamos começar é um comportamento automático nem irresistível que ocorre em algum ponto fixo do desenvolvimento para todo mundo acontece na mesma época num ele é iniciado por algum evento do ambiente ele ocorrem em todos os membros da espécie universal no estresse ele modulável mas não modificável e não necessita aprendizagem anterior certo né e vemos que o instinto materno pelo menos da maneira como as pessoas entendem de forma geral não atende a quase nenhum desses quesitos cert,3,"[{ep: 1, idx: 5}, {ep: 19, idx: 5}, {ep: 199, idx: 5}]"
área tipo de coisa com kansas mudança cerebral por exemplo então já se sabe né vamos deixar alguns artigos mães inicialmente já se sabe que tem mudança de volume de área não têm áreas do cérebro das mulheres que durante a gravidez e logo nascimento áreas aumento e eu diminui e dos jovens também têm áreas que aumentam em áreas que diminui é mesmo ele não carregando a própria só pelo contato temos mudanças de hormônio também padrões de hormônio então temos comportamento em aumento do hormônio principalmente a prolactina e oxitocina é tanto em homens quanto em mulheres só que a expressão do comportamento é diferente não tem um aumento por exemplo do pai de prolactina e oxitocina ele se comporta de um jeito na mãe de outro né então temos essas diferenças mas para antes de entrar nas evidências propriamente ditos eu quero colocar relatos de lamego nas pessoas porque eu quero saber suas reais pe,3,"[{ep: 1, idx: 8}, {ep: 19, idx: 8}, {ep: 199, idx: 8}]"
o é diferente não tem um aumento por exemplo do pai de prolactina e oxitocina ele se comporta de um jeito na mãe de outro né então temos essas diferenças mas para antes de entrar nas evidências propriamente ditos eu quero colocar relatos de lamego nas pessoas porque eu quero saber suas reais pessoas reais não cientistas pessoas pessoas verdadeiras de mostrar como é o processo esse processo de maternidade ou paternidade são também duas convidadas e um convidado tá então vamos começar com que então vamos começar com a camila levamos a ouvir o relato da camila né com o filho dela sobre o processo de maternidade dela a camila tem um podcast que é o minha que eu participei também e gentilmente ofereceu um áudio com um sua opinião sobre o tema vamos ouvir a caminho então oi gente tudo boa só tamil aprender sou escritor e roteirista e mãe e rave comentar com vocês um pouco como,3,"[{ep: 1, idx: 9}, {ep: 19, idx: 9}, {ep: 199, idx: 9}]"
