Episode,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16
https://www.b9.com.br/shows/naruhodo/,,,,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-203-especial-premio-ig-nobel-2019-parte-2-de-2/,2019 Ig Nobel Prize: Winnershttps://www.improbable.com/ig-about/winners/#ig2019,"ENGINEERING PRIZE [IRAN]Iman Farahbakhsh, for inventing a diaper-changing machine for use on human infants.","Infant Washer and Diaper-Changer Apparatus and Method,https://patents.google.com/patent/US20170143168A1/en","ECONOMICS PRIZE [TURKEY, THE NETHERLANDS, GERMANY]Habip
 Gedik, Timothy A. Voss, and Andreas Voss, for testing which country’s 
paper money is best at transmitting dangerous bacteria.",Money and transmission of bacteriahttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC3765964/,"PSYCHOLOGY PRIZE [GERMANY]Fritz
 Strack, for discovering that holding a pen in one’s mouth makes one 
smile, which makes one happier — and for then discovering that it does 
not.",Inhibiting and facilitating conditions of the human smile: A nonobtrusive test of the facial feedback hypothesishttps://psycnet.apa.org/fulltext/1988-25514-001.pdf,From Data to Truth in Psychological Science. A Personal Perspectivehttps://www.frontiersin.org/articles/10.3389/fpsyg.2017.00702/full,"PHYSICS PRIZE [USA, TAIWAN, AUSTRALIA, NEW ZEALAND, SWEDEN, UK]Patricia
 Yang, Alexander Lee, Miles Chan, Alynn Martin, Ashley Edwards, Scott 
Carver, and David Hu, for studying how, and why, wombats make 
cube-shaped poo.",How do wombats make cubed poo?https://meetings.aps.org/Meeting/DFD18/Session/E19.1,"PEACE PRIZE [UK, SAUDI ARABIA, SINGAPORE, USA]Ghada
 A. bin Saif, Alexandru Papoiu, Liliana Banari, Francis McGlone, Shawn 
G. Kwatra, Yiong-Huak Chan, and Gil Yosipovitch, for trying to measure 
the pleasurability of scratching an itch.",The Pleasurability of Scratching an Itch: A Psychophysical and Topographical Assessmenthttp://onlinelibrary.wiley.com.sci-hub.tw/doi/abs/10.1111/j.1365-2133.2012.10826.x,Naruhodo #151 – Especial Prêmio Ig Nobel 2018 – Parte 1 de 2https://www.b9.com.br/shows/naruhodo/naruhodo-151-especial-premio-ig-nobel-2018-parte-1-de-2/,Naruhodo #152 – Especial Prêmio Ig Nobel 2018 – Parte 2 de 2https://www.b9.com.br/shows/naruhodo/naruhodo-152-especial-premio-ig-nobel-2018-parte-2-de-2/,Podcasts das #Minas: DAZMINA#MulheresPodcastershttp://dazmina.libsyn.com/,
https://www.b9.com.br/shows/naruhodo/naruhodo-202-especial-premio-ig-nobel-2019-parte-1-de-2/,2019 Ig Nobel Prize: Winnershttps://www.improbable.com/ig-about/winners/#ig2019,"MEDICINE PRIZE [ITALY, THE NETHERLANDS]Silvano
 Gallus, for collecting evidence that pizza might protect against 
illness and death, if the pizza is made and eaten in Italy.",Does pizza protect against cancerhttps://onlinelibrary.wiley.com/doi/full/10.1002/ijc.11382,Pizza and risk of acute myocardial infarctionhttps://www.nature.com/articles/1601997,"Pizza consumption and the risk of breast, ovarian and prostate cancerhttps://insights.ovid.com/pubmed?pmid=16374234","MEDICAL EDUCATION PRIZE [USA]Karen
 Pryor and Theresa McKeon, for using a simple animal-training technique—
 called “clicker training” —to train surgeons to perform orthopedic 
surgery.",Is Teaching Simple Surgical Skills Using an Operant Learning Program More Effective Than Teaching by Demonstrationhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC4773331/,"BIOLOGY PRIZE [SINGAPORE, CHINA, GERMANY, AUSTRALIA, POLAND, USA, BULGARIA]Ling-Jun
 Kong, Herbert Crepaz, Agnieszka Górecka, Aleksandra Urbanek, Rainer 
Dumke, and Tomasz Paterek, for discovering that dead magnetized 
cockroaches behave differently than living magnetized cockroaches.",In-vivo biomagnetic characterisation of the American cockroachhttps://www.nature.com/articles/s41598-018-23005-1,"ANATOMY PRIZE [FRANCE]Roger Mieusset and Bourras Bengoudifa, for measuring scrotal temperature asymmetry in naked and clothed postmen in France.",Thermal asymmetry of the human scrotumhttps://academic.oup.com/humrep/article/22/8/2178/643997,"CHEMISTRY PRIZE [JAPAN]Shigeru
 Watanabe, Mineko Ohnishi, Kaori Imai, Eiji Kawano, and Seiji Igarashi, 
for estimating the total saliva volume produced per day by a typical 
five-year-old child",Estimation of the total saliva volume produced per day in five-year-old childrenhttp://www.sciencedirect.com.sci-hub.tw/science/article/pii/000399699500026L?via%3Dihub,Naruhodo #151 – Especial Prêmio Ig Nobel 2018 – Parte 1 de 2https://www.b9.com.br/shows/naruhodo/naruhodo-151-especial-premio-ig-nobel-2018-parte-1-de-2/,Naruhodo #152 – Especial Prêmio Ig Nobel 2018 – Parte 2 de 2https://www.b9.com.br/shows/naruhodo/naruhodo-152-especial-premio-ig-nobel-2018-parte-2-de-2/,Podcasts das #Minas: SE FOSSE FÁCIL ERA EXATAS#MulheresPodcastershttps://open.spotify.com/show/6sLbz7FHQGD5S54h9TluIj
https://www.b9.com.br/shows/naruhodo/naruhodo-201-por-que-o-nosso-cerebro-as-vezes-falha/,13 desabafos de pessoas que foram ‘bugadas’ pelo próprio cérebrohttp://www.criatives.com.br/2018/09/13-desabafos-de-pessoas-que-foram-bugadas-pelo-proprio-cerebro-impossivel-nao-rir-com-elas/,Anxiety and susceptibility to distraction (1992)http://www.sciencedirect.com.sci-hub.tw/science/article/abs/pii/019188699290052Q,"Throwing
 the banana away and keeping the peel: Neuroelectric responses to 
unexpected but physically feasible action endings (2013)http://www.sciencedirect.com.sci-hub.tw/science/article/pii/S0006899313011207?via%3Dihub",Not all minds that wander are lost: the importance of a balanced perspective on the mind-wandering statehttps://www.frontiersin.org/articles/10.3389/fpsyg.2013.00441/full,Why do we laugh at misfortunes? An electrophysiological exploration of comic situation processinghttps://www.sciencedirect.com/science/article/abs/pii/S0028393214002103,Your Brain on Comics: A Cognitive Model of Visual Narrative Comprehensionhttps://onlinelibrary.wiley.com/doi/full/10.1111/tops.12421,Neural Mechanisms of Sustained Attention Are Rhythmichttps://www.cell.com/neuron/fulltext/S0896-6273(18)30630-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627318306305%3Fshowall%3Dtrue,Inspired by Distraction: Mind Wandering Facilitates Creative Incubationhttp://journals.sagepub.com.sci-hub.tw/doi/abs/10.1177/0956797612446024,Naruhodo #78- Como funciona a memória?https://www.b9.com.br/shows/naruhodo/naruhodo-78-como-funciona-memoria/,Naruhodo #157 – Atravessar portas faz a gente se esquecer de coisas?https://www.b9.com.br/shows/naruhodo/naruhodo-157-atravessar-portas-faz-a-gente-se-esquecer-de-coisas/,Naruhodo #174 –  Por que temos o ímpeto de pular de lugares altos?https://www.b9.com.br/shows/naruhodo/naruhodo-174-por-que-temos-o-impeto-de-pular-de-lugares-altos/,Naruhodo #149- Porque damos risadas?https://www.b9.com.br/shows/naruhodo/naruhodo-149-por-que-damos-risadas/,Podcasts das #Minas: MENINAS PRA FRENTE#MulheresPodcastershttps://www.facebook.com/MeninasPraFrente/,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-200-desafio-naruhodo-quantas-pessoas-restaram-na-cidade-das-sombras/,Curso Delineando a Pesquisa ClínicaCanal Ciência Bonita (@cienciabonita):http://tiny.cc/ibniczCanal Cientistica (@altayals):http://tiny.cc/pcnicz,Naruhodo #158 – Quem será devorado pelo chefe Gelóstofo?https://www.b9.com.br/shows/naruhodo/naruhodo-158-desafio-naruhodo-quem-sera-devorado-pelo-chefe-gelostofo/,Naruhodo #98 – Porque precisamos falar sobre suicídio?https://www.b9.com.br/shows/naruhodo/naruhodo-98-por-que-precisamos-falar-sobre-suicidio/,Naruhodo #104 – Animais não-humanos cometem suicídio?https://www.b9.com.br/shows/naruhodo/naruhodo-104-animais-nao-humanos-cometem-suicidio/,Naruhodo #150 – O que é o “No Fap September”?https://www.b9.com.br/shows/naruhodo/naruhodo-150-o-que-e-o-no-fap-september/,A lagosta-boxeadora e os olhos mais complexos do reino animal,Precisamos falar sobre suicídio – Manual do Homem Modernohttps://www.youtube.com/watch?v=nPFwASg4-Ms,Tudo sobre Depressão – Manual do Homem Modernohttps://www.youtube.com/watch?v=YYLKWc4-L3I,Podcasts das #Minas: AS MATHILDAShttp://cinemacao.com/category/as-mathildas/#MulheresPodcasters,,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-199-existe-instinto-materno-parte-2-de-2/,Jerry Hogan – The Study of Behavior –https://www.youtube.com/watch?v=vVLa4-Y1Ph8Livro:https://bit.ly/2Mi8OSs,Novos arranjos nos lares brasileiros – Pesquisa Fapesp:https://revistapesquisa.fapesp.br/2018/01/16/novos-arranjos-nos-lares-brasileiros/,Development evolving:The origins and meanings of instincthttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC5182125/pdf/nihms-728536.pdf,Neurobiology of culturally common maternal responses to infant cryhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC5692572/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3182719/Longitudinal evidence that fatherhood decreases testosterone in human males,"Pair-bonding, fatherhood, and the role of testosterone: A meta-analytic review (2019)https://www.sciencedirect.com/science/article/pii/S0149763418304391?via%3Dihub#fig0015",Testosterone Rapidly Increases Neural Reactivity to Threat in Healthy Men: A Novel Two-Step Pharmacological Challenge Paradigmhttps://www.sciencedirect.com/science/article/pii/S0006322314000559?via%3Dihub#f0005,Motherhood as a rite of passage: an anthropological perspectivehttps://link.springer.com/chapter/10.1007/978-1-349-14529-4_2,"Natural
 variations in maternal and paternal care are associated with systematic
 changes in oxytocin following parent–infant contacthttps://www.sciencedirect.com/science/article/pii/S0306453010000296",Primate paternal care: Interactions between biology and social experiencehttps://www.sciencedirect.com/science/article/pii/S0018506X15300350,Pregnancy leads to long-lasting changes in human brain structurehttps://www.nature.com/articles/nn.4458,Ducklings capable of abstract thought (Science 2017)https://www.sciencemag.org/news/2016/07/video-ducklings-capable-abstract-thought,“Nature as Nurture: Behaviorism and the Instinct Doctrine”. Behaviorismhttps://www.jstor.org/stable/27758791?seq=1#page_scan_tab_contents,Naruhodo #159 – A ciência consegue explicar tudo? – Parte 1 de 2https://www.b9.com.br/99631/naruhodo-159-a-ciencia-consegue-explicar-tudo-parte-1-de-2/,Naruhodo #160 – A ciência consegue explicar tudo? – Parte 2 de 2https://www.b9.com.br/99839/naruhodo-160-a-ciencia-consegue-explicar-tudo-parte-2-de-2/,Podcasts das #Minas: PÍLULAS DE BELEZAhttp://culturanerdegeek.com.br/podcasts/pilulasdebeleza/
https://www.b9.com.br/shows/naruhodo/naruhodo-198-existe-instinto-materno-parte-1-de-2/,Jerry Hogan – The Study of Behavior –https://www.youtube.com/watch?v=vVLa4-Y1Ph8Livro:https://bit.ly/2Mi8OSs,Novos arranjos nos lares brasileiros – Pesquisa Fapesp:https://revistapesquisa.fapesp.br/2018/01/16/novos-arranjos-nos-lares-brasileiros/,Development evolving:The origins and meanings of instincthttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC5182125/pdf/nihms-728536.pdf,Neurobiology of culturally common maternal responses to infant cryhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC5692572/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3182719/Longitudinal evidence that fatherhood decreases testosterone in human males,"Pair-bonding, fatherhood, and the role of testosterone: A meta-analytic review (2019)https://www.sciencedirect.com/science/article/pii/S0149763418304391?via%3Dihub#fig0015",Testosterone Rapidly Increases Neural Reactivity to Threat in Healthy Men: A Novel Two-Step Pharmacological Challenge Paradigmhttps://www.sciencedirect.com/science/article/pii/S0006322314000559?via%3Dihub#f0005,Motherhood as a rite of passage: an anthropological perspectivehttps://link.springer.com/chapter/10.1007/978-1-349-14529-4_2,"Natural
 variations in maternal and paternal care are associated with systematic
 changes in oxytocin following parent–infant contacthttps://www.sciencedirect.com/science/article/pii/S0306453010000296",Primate paternal care: Interactions between biology and social experiencehttps://www.sciencedirect.com/science/article/pii/S0018506X15300350,Pregnancy leads to long-lasting changes in human brain structurehttps://www.nature.com/articles/nn.4458,Ducklings capable of abstract thought (Science 2017)https://www.sciencemag.org/news/2016/07/video-ducklings-capable-abstract-thought,“Nature as Nurture: Behaviorism and the Instinct Doctrine”. Behaviorismhttps://www.jstor.org/stable/27758791?seq=1#page_scan_tab_contents,Naruhodo #159 – A ciência consegue explicar tudo? – Parte 1 de 2https://www.b9.com.br/99631/naruhodo-159-a-ciencia-consegue-explicar-tudo-parte-1-de-2/,Naruhodo #160 – A ciência consegue explicar tudo? – Parte 2 de 2https://www.b9.com.br/99839/naruhodo-160-a-ciencia-consegue-explicar-tudo-parte-2-de-2/,Podcasts das #Minas: PÍLULAS DE BELEZAhttp://culturanerdegeek.com.br/podcasts/pilulasdebeleza/
https://www.b9.com.br/shows/naruhodo/naruhodo-197-adocantes-artificiais-podem-fazer-mal/,Glycemic impact of non-nutritive sweeteners: a systematic review and meta-analysis of randomized controlled trialshttps://www.nature.com/articles/s41430-018-0170-6,Health outcomes of non-nutritive sweeteners: analysis of the research landscapehttps://nutritionj.biomedcentral.com/articles/10.1186/s12937-017-0278-x,Podcasts das #Minas: OLHAREShttps://olharespodcast.com.br,,,,,,,,,,,,,
https://www.b9.com.br/shows/naruhodo/naruhodo-196-por-que-colecionamos-coisas/,The Influence of Initial Possession Level on Consumers’ Adoption of a Collection Goal: A Tipping Point Effect (2014)https://journals.sagepub.com/doi/pdf/10.1509/jm.13.0475,Wanting Ever More: Acquisition Procedure Motivates Continued Reward Acquisitionhttp://academic.oup.com.sci-hub.tw/jcr/article-abstract/43/2/230/2572282,Experimental Tests of the Endowment Effect and the Coase Theoremhttp://www.journals.uchicago.edu.sci-hub.tw/doi/10.1086/261737,The Neural Basis of Financial Risk Takinghttps://www.cell.com/neuron/fulltext/S0896-6273(05)00657-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0896627305006574%3Fshowall%3Dtrue,Neurofinancehttps://journals.sagepub.com/doi/full/10.1177/1094428117730891,Biblioteca Guita e José Mindlin (USP)https://www.bbm.usp.br/node/1,Neuropsychological and neurophysiological insights into hoarding disorderhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC4396642/,Error-Related Brain Activity Dissociates Hoarding Disorder from Obsessive-Compulsive Disorderhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079649/,Naruhodo #132 – De onde surgiu o conceito de nomes próprios?https://www.b9.com.br/91153/naruhodo-132-de-onde-surgiu-o-conceito-de-nomes-proprios/,Naruhodo #39 – A ignorância é uma benção?https://www.b9.com.br/68608/naruhodo-39-ignorancia-e-uma-bencao/,Naruhodo #177 – Por que criamos amigos imaginários?https://www.b9.com.br/106118/naruhodo-177-por-que-criamos-amigos-imaginarios/,Naruhodo #67 – Como funciona o cérebro quando conversamos com nós mesmos?https://www.b9.com.br/72717/naruhodo-67-como-funciona-o-cerebro-quando-conversamos-com-nos-mesmos/,Naruhodo #135 – Como eu sei que você é você e não eu? – Parte 1 de 2https://www.b9.com.br/92013/naruhodo-135-como-eu-sei-que-voce-e-voce-e-nao-eu-parte-1-de-2/,Naruhodo #136 – Como eu sei que você é você e não eu? – Parte 2 de 2https://www.b9.com.br/92404/naruhodo-136-como-eu-sei-que-voce-e-voce-e-nao-eu-parte-2-de-2/,Naruhodo #161 – Visitar museus pode curar doenças?https://www.b9.com.br/100503/naruhodo-161-visitar-museus-pode-curar-doencas/,Podcasts das #Minas: SINUCA DE BICOShttps://paizinhovirgula.com/category/podcasts/podcast-sinuca-de-bicos/
https://www.b9.com.br/shows/naruhodo/naruhodo-195-beber-suco-de-frutas-aumenta-o-risco-de-cancer/,"Suco de fruta aumenta risco de câncer, alerta estudohttps://veja.abril.com.br/saude/suco-de-fruta-aumenta-risco-de-cancer-alerta-estudo/",Suco natural de fruta pode ser tão ruim para a saúde quanto refrigerantehttps://www.gazetadopovo.com.br/viver-bem/saude-e-bem-estar/suco-de-fruta-natural-tao-ruim-quanto-refrigerante-estudo-diz-que-sim/,Sugary drink consumption and risk of cancer: results from NutriNet-Santé prospective cohorthttps://www.bmj.com/content/366/bmj.l2408,Association of Sugary Beverage Consumption With Mortality Risk in US Adultshttps://jamanetwork.com/journals/jamanetworkopen/fullarticle/2733424,"Sugar in fruit juice may raise risk of cancer, study findshttps://www.theguardian.com/society/2019/jul/10/sugar-in-fruit-juice-may-raise-risk-of-cancer-study-finds","Fruit juice may raise cancer risk, study finds. Here’s why.https://bigthink.com/surprising-science/fruit-juice-cancer","A
 randomized controlled trial contrasting the effects of 4 low-calorie 
sweeteners and sucrose on body weight in adults with overweight or 
obesityhttps://academic.oup.com/ajcn/article/109/5/1288/5475055",Effects of sugar ingestion expectancies on mother-child interactionshttps://www.ncbi.nlm.nih.gov/m/pubmed/7963081/,The Effect of Sugar on Behavior or Cognition in Childrenhttps://jamanetwork.com/journals/jama/article-abstract/391812,Podcasts das #Minas: OTAMINAShttp://otaminas.com.br,,,,,,
