episode_number,episode_title,reference_title,reference_url,reference_type_id
103,Testes De Personalidade Funcionam,O Que E O Teorema De Bayes E O Que Horoscopo Tem A Ver Com Isso,https://www.b9.com.br/78405/naruhodo-94-o-que-e-o-teorema-de-bayes-e-o-que-horoscopo-tem-a-ver-com-isso,9
103,Testes De Personalidade Funcionam,Vídeo da Vox – Why the Myers-Briggs test is totally meaningless,,9
103,Testes De Personalidade Funcionam,Astrologia Horoscopo E Mapa Astral Tem Algo De Cientifico,https://www.b9.com.br/70398/naruhodo-51-astrologia-horoscopo-e-mapa-astral-tem-algo-de-cientifico,9
103,Testes De Personalidade Funcionam,,https://www.youtube.com/watch?v=Q5pggDCnt5M,1
103,Testes De Personalidade Funcionam,O Que E Inteligencia,https://www.b9.com.br/76934/naruhodo-90-o-que-e-inteligencia,9
107,Hipnose Funciona Parte 2 De 2,Artigo: Marketing actions can modulate neural representations of experienced pleasantness,http://www.pnas.org/content/105/3/1050.full,9
107,Hipnose Funciona Parte 2 De 2,Artigo: Mesmerizing Memories: Brain Substrates of Episodic Memory Suppression in Posthypnotic Amnesia,http://www.sciencedirect.com/science/article/pii/S0896627307009828,2
107,Hipnose Funciona Parte 2 De 2,Derren Brown – The Assassin,https://www.youtube.com/watch?v=wipVDW3Vc4A,1
108,Bebida Alcoolica Ajuda A Falar Melhor Uma Lingua Estrangeira,Paper: Dutch courage? Effects of acute alcohol consumption on self-ratings and observer ratings of foreign language skills,http://journals.sagepub.com/doi/abs/10.1177/0269881117735687,9
109,O Cerebro Humano E Um Computador,Can a robot pass a university entrance exam? – Noriko Arai,https://www.ted.com/talks/noriko_arai_can_a_robot_pass_a_university_entrance_exam/up-next,9
11,Por Que Os Japoneses Leem Da Direita Pra Esquerda,>>Exemplo de combinação tategaki + yokogaki em mangá,,9
11,Por Que Os Japoneses Leem Da Direita Pra Esquerda,>>Exemplo de combinação tategaki + yokogaki em outdoor,,9
