Episode Title,Episode URL,Reference
O termo “macho alfa” faz sentido? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,"Oeste Outra Vez
Cinemático"
O termo “macho alfa” faz sentido? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
O termo “macho alfa” faz sentido? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
O termo “macho alfa” faz sentido? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,"2020, o ano que nunca acabou
Braincast"
O termo “macho alfa” faz sentido? - Parte 2 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-438-o-termo-macho-alfa-faz-sentido-parte-2-de-2/&via=brains9&text=Naruhodo #438 – O termo “macho alfa” faz sentido? – Parte 2 de 2,
O termo “macho alfa” faz sentido? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,"Oeste Outra Vez
Cinemático"
O termo “macho alfa” faz sentido? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
O termo “macho alfa” faz sentido? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,"Entrevista #39: Mila Massuda
Naruhodo!"
O termo “macho alfa” faz sentido? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,"2020, o ano que nunca acabou
Braincast"
O termo “macho alfa” faz sentido? - Parte 1 de 2,https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,"Ruptura [S2]
Cinemático"
Facebook,https://www.facebook.com/sharer.php?u=https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/,
JavaScript is not available.,https://twitter.com/share?url=https://www.b9.com.br/shows/naruhodo/naruhodo-437-o-termo-macho-alfa-faz-sentido-parte-1-de-2/&via=brains9&text=Naruhodo #437 – O termo “macho alfa” faz sentido? – Parte 1 de 2,
A violência faz parte da “natureza humana”?,https://www.b9.com.br/shows/naruhodo/naruhodo-436-a-violencia-faz-parte-da-natureza-humana/,"Oeste Outra Vez
Cinemático"
A violência faz parte da “natureza humana”?,https://www.b9.com.br/shows/naruhodo/naruhodo-436-a-violencia-faz-parte-da-natureza-humana/,"Chico Bento e a Goiabeira Maraviosa
Cinemático"
A violência faz parte da “natureza humana”?,https://www.b9.com.br/shows/naruhodo/naruhodo-436-a-violencia-faz-parte-da-natureza-humana/,"Entrevista #39: Mila Massuda
Naruhodo!"
A violência faz parte da “natureza humana”?,https://www.b9.com.br/shows/naruhodo/naruhodo-436-a-violencia-faz-parte-da-natureza-humana/,"2020, o ano que nunca acabou
Braincast"
